condition,expected_count,record_count,count_matches_expected,mean_inference_time_seconds,median_inference_time_seconds,min_inference_time_seconds,max_inference_time_seconds,mean_report_word_count,median_report_word_count,min_report_word_count,max_report_word_count,empty_report_count,duplicate_report_count,unique_report_count
sufficient,17,17,True,6.851927711764053,6.673155199998291,5.994683099997928,9.951800299997558,50.294117647058826,50.0,43,61,0,3,17
incomplete,9,9,True,6.5947332666667835,6.570361700003559,6.33685809999588,6.989915500002098,46.22222222222222,46.0,42,55,0,0,9
irrelevant,20,20,True,6.790923064998788,6.759803400000237,5.584670299998834,9.007250900001964,49.85,49.0,43,60,0,3,20
conflicting,15,15,True,6.603083353333932,6.522242099999858,6.258271500002593,7.232314500004577,49.266666666666666,49.0,45,57,0,9,9
insufficient,20,20,True,6.570895015000497,6.450535600000876,6.124898699999903,7.336260199997923,38.9,38.0,38,44,0,17,5
